to have	έχω
to say	λέγω
to do	κάνω
to go	πηγαίνω
to see	βλέπω
to make	κάνω
to know	ξέρω
to want	θέλω
to take	παίρνω
to believe	πιστεύω
day	η ημέρα
woman	η γυναίκα
time	η ώρα
night	η νύχτα
story	η ιστορία
door	η πόρτα
mother	η μητέρα
chocolate	η σοκολάτα
goat	η κατσίκα
sea	η θάλασσα
more	περισσότερος
large	μεγάλος
alone	μόνος
all	όλος
young	νέος
white	άσπρος
same	ίδιος
black	μαύρος
new	καινούριος
last	τελευταίος
year	οχρόνος
world	ο κόσμος
fear	οφόβος
wall	ο τοίχος
son	ο γιος
sun	ο ήλιος
friend	ο φίλος
pain	ο πόνος
noise	οθόρυβος
road	οδρόμος
to speak	μιλώ
to ask	ρωτώ
to pass	περνώ
to hold	κρατώ
to live	ζώ
to stop	σταματώ
to follow	ακολουθώ
to laugh	γελώ
to walk	περπατώ
to seek	αναζητώ
room	το δωμάτιο
face	το πρόσωπο
horse	το αλόγο
book	το βιβλίο
car	το αυτοκίνητο
window	το παράθυρο
wood	το ξύλο
iron	το σίδηρο
tree	το δέντρο
eye	το μάτι
small	μικρός
right	δεξιός
old	παλαιός
high	ψηλός
low	χαμηλός
poor	φτωχός
clean	καθαρός
fat	χοντρός
strong	δυνατός
TRUE	αληθινός
king	ο βασιλιάς
grandfather	ο παπούς
soldier	ο στρατιώτης
coffee	ο καφές
manager	ο διευθυντής
student	ο φοιτητής
butcher	ο χασάπης
map	ο χάρτης
mirror	ο καθρέφτης
farmer	ο αγρότης
to arrive	φθάνω
to run	τρέχω
to put	βάζω
to find	βρίσκω
to leave	φεύγω
to give	δίνω
to remain	παραμένω
to calculate	υπολογίζω
to flatter	κολακεύω
to hear	ακούω
receipt	η απόδειξη
word	η λέξη
love	η αγάπη
earth	η γη
daughter	η κόρη
pleasure	η ευχαρίστηση
town	η πόλη
nose	η μύτη
need	η ανάγκη
sense	η αίσθηση
red	κόκκινος
sure	σίγουρος
full	γεμάτος
other	άλλος
empty	άδειος
less	λιγότερος
happy	ευτυχισμένος
better	καλύτερος
green	πράσινος
grey	γκρίζος
doctor	ο ιατρός
brother	ο αδελφός
sky	ο ουρανός
hip	ο γοφός
number	ο αριθμός
throat	ο λαιμός
weather	ο καιρός
driver	ο οδηγός
copper	ο χαλκός
juice	ο χυμός
to throw	πετώ
to forget	ξεχνώ
to try	προσπαθώ
to reply	απαντώ
to converse	συνομιλώ
to slide	γλιστρώ
to strike	χτυπώ
to explain	εξηγώ
to dwell	κατοικώ
to pull	τραβώ
child	το παιδί
wine	το κρασί
evening	το βράδυ
morning	το πρωί
place	το μέρος
water	το νερό
fact	το γεγονός
fault	το λάθος
breakfast	το πρωινό
end	το τέλος
clear	καθαρός
good	καλός
little	μικρός
open	ανοικτός
hard	σκληρός
left	αριστερός
dear	αγαπητός
simple	απλός
soft	μαλακός
dry	στεγνός
man	ο άνδρας
father	ο πατέρας
air	ο αέρας
month	ο μήνας
neighbor	ο γείτονας
sign	ο πίνακας
winter	ο χειμώνας
painting	ο πίνακας
elbow	ο αγκώνας
barber	ο κουρέας
to understand	καταλαβαίνω
to open	ανοίγω
to die	πεθαίνω
to lose	χάνω
to draw	ζωγραφίζω
to carry	μεταφέρω
to expect	περιμένω
to finish	τελειώνω
to begin	αρχίζω
to fall	πέφτω
side	η πλευρά
job	η δουλειά
glance	η ματιά
heart	η καρδιά
market	η αγορά
shadow	η σκιά
fire	η φωτιά
grandmother	η γιαγιά
smell	η μυρωδιά
joy	η χαρά
difficult	δύσκολος
yellow	κίτρινος
ready	έτοιμος
free	ελεύθερος
dirty	βρώμικος
similar	όμοιος
cold	κρύος
strange	παράξενος
FALSE	ψεύτικος
sick	άρρωστος
dog	ο σκύλος
shoulder	ο ώμος
reason	ο λόγος
garden	ο κήπος
war	ο πόλεμος
